year,value_original,value_predicted
2011,1678.802762,1712.372
2012,1663.894168,1728.9729
2013,1659.36247,1742.5154
2014,1662.009819,1749.0319
2015,1670.444177,1743.0219
2016,1684.749716,1719.6156
2017,1668.131678,1684.2368
2018,1654.25045,1659.6832
2019,1651.414925,1663.321
2020,1630.343502,1682.5298
2021,1612.125145,1704.6881
