year,value_original,value_predicted
2011,375.7391876,365.121
2012,372.0238776,361.2934
2013,366.6302118,357.2619
2014,360.0146168,353.33917
2015,357.8984988,349.64984
2016,355.4163137,346.2313
2017,350.7615273,343.10257
2018,348.408072,340.22275
2019,344.7515956,337.5574
2020,337.2894304,335.09906
2021,333.1063354,332.83557
