year,value_original,value_predicted
2011,1305.838253,1327.6334
2012,1287.898231,1341.2356
2013,1275.692501,1352.202
2014,1271.001437,1358.3372
2015,1258.013736,1358.7
2016,1250.74837,1354.0233
2017,1232.227022,1346.4667
2018,1223.331,1338.7749
2019,1217.569134,1333.1967
2020,1204.766961,1330.7948
2021,1196.934369,1331.4336
