year,actual,predicted
2011,6.59174624,6.69462013
2012,6.51698322,6.69462013
2013,6.48498363,6.69462013
2014,6.44262059,6.69462013
2015,6.36843245,6.69462013
2016,6.26486506,6.69462013
2017,6.12862824,6.69462013
2018,5.96940351,6.69462013
2019,5.84071421,6.69462013
2020,5.40854845,6.69462013
2021,5.18718105,6.69462013
