year,actual,predicted
2011,2156.29504400,2141.32128906
2012,2147.35665100,2141.32128906
2013,2142.14512100,2141.32128906
2014,2152.78387300,2141.32128906
2015,2174.56915800,2141.32128906
2016,2222.88906200,2141.32128906
2017,2291.60607200,2141.32128906
2018,2335.23602900,2141.32128906
2019,2337.05338000,2141.32128906
2020,2299.41187700,2141.32128906
2021,2262.87213000,2141.32128906
