year,actual,predicted
2011,16.22195651,16.58441734
2012,15.85708644,16.58441734
2013,15.77334045,16.58441734
2014,15.72680759,16.58441734
2015,15.60480908,16.58441734
2016,15.66375516,16.58441734
2017,15.71645957,16.58441734
2018,15.71897753,16.58441734
2019,15.74151665,16.58441734
2020,15.66559239,16.58441734
2021,15.71478204,16.58441734
