year,value
1980,78.76760655
1981,77.40034206
1982,75.69941321
1983,74.65635604
1984,73.79823049
1985,72.75532858
1986,71.17966321
1987,70.7231871
1988,70.36326117
1989,70.87639931
1990,70.63334854
1991,70.53317879
1992,70.43160926
1993,70.5432645
1994,69.97002119
1995,69.60276046
1996,68.47902023
1997,67.18250415
1998,65.9092127
1999,64.88384212
2000,63.18747358
2001,61.49169931
2002,60.42390501
2003,59.23681747
2004,58.42002486
2005,57.97518757
2006,57.83206774
2007,57.69235377
2008,56.24057039
2009,54.02118856
2010,52.7942502
2011,51.60339874
2012,50.41326412
2013,49.97933087
2014,50.00368824
2015,49.63443075
2016,49.59825016
2017,49.53471589
2018,49.21283892
2019,48.67543623
2020,48.09012809
2021,47.91368998
