year,value
1980,1320.161604
1981,1312.977571
1982,1311.607187
1983,1316.031352
1984,1323.412489
1985,1328.066534
1986,1321.110285
1987,1325.287352
1988,1328.361076
1989,1331.222574
1990,1335.154161
1991,1334.761057
1992,1340.106069
1993,1344.272471
1994,1352.74431
1995,1363.307244
1996,1360.066908
1997,1348.369508
1998,1339.863921
1999,1323.463938
2000,1318.331632
2001,1315.696531
2002,1318.662419
2003,1331.849522
2004,1345.022197
2005,1339.167078
2006,1316.964213
2007,1308.161781
2008,1311.220686
2009,1311.158645
2010,1312.700549
2011,1305.838253
2012,1287.898231
2013,1275.692501
2014,1271.001437
2015,1258.013736
2016,1250.74837
2017,1232.227022
2018,1223.331
2019,1217.569134
2020,1204.766961
2021,1196.934369
