year,actual,predicted
2011,6.591746238,6.6382313
2012,6.516983217,6.4681263
2013,6.484983632,6.3111024
2014,6.442620591,6.173486
2015,6.368432451,6.0552835
2016,6.26486506,5.9568996
2017,6.128628243,5.870255
2018,5.969403512,5.78508
2019,5.840714205,5.706663
2020,5.408548447,5.6291237
2021,5.187181048,5.558148
