year,actual,predicted
2011,4.30458989,4.281139
2012,4.202036225,4.2235518
2013,4.161252799,4.1829133
2014,4.190818991,4.1536884
2015,4.158204012,4.115761
2016,4.062701333,4.0763984
2017,4.018535701,4.0382147
2018,3.962482354,4.0027423
2019,3.901415985,3.9742074
2020,3.75643939,3.9306293
2021,3.665189862,3.8829632
