year,predicted
2022,3.709834
2023,3.7517858
2024,3.791205
2025,3.8282404
2026,3.8630326
2027,3.8957114
2028,3.9264002
2029,3.955214
2030,3.9822624
2031,4.0076475
2032,4.0314665
2033,4.053811
2034,4.074767
2035,4.0944176
2036,4.1128387
2037,4.1301045
2038,4.1462836
2039,4.161441
2040,4.1756387
2041,4.188935
2042,4.201384
2043,4.2130384
2044,4.223947
2045,4.234156
2046,4.243708
2047,4.2526445
2048,4.261004
2049,4.2688227
2050,4.2761345
