year,true_value,predicted_value
2011,529.382076,548.4829667029117
2012,522.3625495,544.5415308563242
2013,512.6469377,540.6284184354008
2014,504.7781464,536.7434259060683
2015,504.3345962,532.8863511968957
2016,504.5011375,529.0569936885004
2017,500.4197586,525.2551542032452
2018,499.4359342,521.480634994703
2019,495.1848013,517.7332397375139
2020,489.4665948,514.0127735171409
2021,487.3111807,510.31904281969764
