year,true_value,predicted_value
2011,990.0511993,1029.4207807678613
2012,975.8282697,1026.6903576822951
2013,963.8277292,1023.9671767374966
2014,953.3490157,1021.251218724472
2015,943.4048605,1018.5424644852756
2016,938.8000425,1015.8408949126606
2017,930.5992818,1013.1464909501956
2018,926.4836236,1010.4592335917405
2019,922.8975846,1007.7791038819705
2020,916.7810582,1005.1060829153867
2021,915.0820134,1002.4401518367813
