year,true_value,predicted_value
2011,92.03220792,93.19195172100353
2012,91.07988224,92.09804143584824
2013,89.65162716,91.01697174142919
2014,87.23707542,89.94859191170417
2015,85.73700863,88.89275298988287
2016,85.05741955,87.84930776767851
2017,83.63072322,86.81811076475879
2018,82.57594681,85.79901820848772
2019,82.05272584,84.79188801386044
2020,80.96658903,83.79657976370527
2021,80.46943952,82.81295468909866
