year,true_value,predicted_value
2011,2156.295044,2221.566176563618
2012,2147.356651,2239.1820348346373
2013,2142.145121,2256.937577651639
2014,2152.783873,2274.833912639937
2015,2174.569158,2292.872156207857
2016,2222.889062,2311.0534336162964
2017,2291.606072,2329.3788790488616
2018,2335.236029,2347.849635682476
2019,2337.05338,2366.466855759092
2020,2299.411877,2385.2317006572266
2021,2262.87213,2404.145340964489
