year,actual,predicted
2011,2156.295044,2083.5667
2012,2147.356651,2052.568
2013,2142.145121,2035.8604
2014,2152.783873,2026.8352
2015,2174.569158,2021.9543
2016,2222.889062,2019.3132
2017,2291.606072,2017.8834
2018,2335.236029,2017.1094
2019,2337.05338,2016.6903
2020,2299.411877,2016.4633
2021,2262.87213,2016.3403
