year,actual,predicted
2011,6.591746238,7.8114347
2012,6.516983217,8.534924
2013,6.484983632,8.99836
2014,6.442620591,9.292921
2015,6.368432451,9.479125
2016,6.26486506,9.596402
2017,6.128628243,9.670091
2018,5.969403512,9.716318
2019,5.840714205,9.745293
2020,5.408548447,9.76344
2021,5.187181048,9.774804
