year,actual,predicted
2011,1305.838253,1315.9669
2012,1287.898231,1318.5197
2013,1275.692501,1320.5104
2014,1271.001437,1322.0604
2015,1258.013736,1323.2655
2016,1250.74837,1324.2015
2017,1232.227022,1324.928
2018,1223.331,1325.4915
2019,1217.569134,1325.9282
2020,1204.766961,1326.2667
2021,1196.934369,1326.5288
