year,predicted
2022,5.560689
2023,5.4806485
2024,5.4351244
2025,5.408714
2026,5.3925433
2027,5.381617
2028,5.3732495
2029,5.3660126
2030,5.359269
2031,5.3528085
2032,5.346621
2033,5.340791
2034,5.3354177
2035,5.3305163
2036,5.3265514
2037,5.3233194
2038,5.3199735
2039,5.3170075
2040,5.3143682
2041,5.3120146
2042,5.309911
2043,5.308028
2044,5.306341
2045,5.3048286
2046,5.3034725
2047,5.302256
2048,5.3011665
2049,5.3001895
2050,5.2993145
