year,predicted
2022,27.07388
2023,27.16387
2024,27.252829
2025,27.330034
2026,27.389717
2027,27.429007
2028,27.450325
2029,27.45779
2030,27.454962
2031,27.444513
2032,27.430332
2033,27.415085
2034,27.399567
2035,27.385103
2036,27.371593
2037,27.360823
2038,27.354116
2039,27.350428
2040,27.34932
2041,27.350212
2042,27.352488
2043,27.355545
2044,27.35888
2045,27.362091
2046,27.364908
2047,27.367168
2048,27.368803
2049,27.36983
2050,27.370314
