year,predicted
2022,2313.7964
2023,2314.255
2024,2321.2998
2025,2334.1196
2026,2351.9934
2027,2374.162
2028,2399.9495
2029,2428.4028
2030,2458.5505
2031,2489.6226
2032,2520.8982
2033,2551.9092
2034,2582.77
2035,2613.9966
2036,2646.3772
2037,2680.5632
2038,2716.5217
2039,2755.208
2040,2796.9917
2041,2842.1223
2042,2890.7146
2043,2942.762
2044,2998.165
2045,3056.76
2046,3118.3455
2047,3182.6934
2048,3249.5498
2049,3318.6243
2050,3389.5713
