year,predicted_value
2022,2034.9943624032203
2023,2020.3278399886356
2024,2006.9944805833052
2025,1996.9804603855098
2026,1990.9224841143916
2027,1987.9996376468848
2028,1986.876327624546
2029,1986.5316123539862
2030,1986.4468445716911
2031,1986.4300811204635
2032,1986.4274066030957
2033,1986.4270614171164
2034,1986.4270252961096
2035,1986.42702222595
2036,1986.427022013673
2037,1986.427022001719
2038,1986.4270220011701
2039,1986.4270220011497
2040,1986.427022001149
2041,1986.427022001149
2042,1986.427022001149
2043,1986.427022001149
2044,1986.427022001149
2045,1986.427022001149
2046,1986.427022001149
2047,1986.427022001149
2048,1986.427022001149
2049,1986.427022001149
2050,1986.427022001149
