year,predicted_value
2022,229.841254572512
2023,243.8923996845267
2024,260.43809607039196
2025,273.8627880789676
2026,281.9553566708563
2027,285.7152220824519
2028,287.0899090747087
2029,287.4905403788008
2030,287.58438077566507
2031,287.602144506302
2032,287.6048722821008
2033,287.60521295750334
2034,287.60524762476336
2035,287.60525050284303
2036,287.6052506979572
2037,287.6052507087657
2038,287.6052507092552
2039,287.6052507092733
2040,287.6052507092739
2041,287.6052507092739
2042,287.6052507092739
2043,287.6052507092739
2044,287.6052507092739
2045,287.6052507092739
2046,287.6052507092739
2047,287.6052507092739
2048,287.6052507092739
2049,287.6052507092739
2050,287.6052507092739
