year,predicted_value
2022,501.02401112846104
2023,522.7012152625957
2024,547.2580499328934
2025,566.8616631551436
2026,578.6141959050632
2027,584.0747261959631
2028,586.0769829146734
2029,586.6629899552395
2030,586.8009037652587
2031,586.8271349231297
2032,586.8311810985183
2033,586.8316885059622
2034,586.8317403284572
2035,586.8317446444825
2036,586.8317449378833
2037,586.8317449541745
2038,586.8317449549137
2039,586.8317449549411
2040,586.831744954942
2041,586.831744954942
2042,586.831744954942
2043,586.831744954942
2044,586.831744954942
2045,586.831744954942
2046,586.831744954942
2047,586.831744954942
2048,586.831744954942
2049,586.831744954942
2050,586.831744954942
