year,predicted_value
2022,710.3629707142451
2023,736.673718522235
2024,763.4701621816963
2025,783.7541208166185
2026,795.576483271398
2027,800.9883513629949
2028,802.9582492511005
2029,803.5330661147032
2030,803.6682805544702
2031,803.6940214084985
2032,803.6979983312659
2033,803.6984980028632
2034,803.6985491350505
2035,803.6985534015469
2036,803.6985536920778
2037,803.6985537082342
2038,803.6985537089683
2039,803.6985537089956
2040,803.6985537089964
2041,803.6985537089964
2042,803.6985537089964
2043,803.6985537089964
2044,803.6985537089964
2045,803.6985537089964
2046,803.6985537089964
2047,803.6985537089964
2048,803.6985537089964
2049,803.6985537089964
2050,803.6985537089964
