year,predicted_value
2022,341.0479795633265
2023,358.4821170600785
2024,380.00732702888666
2025,397.91680373914437
2026,408.9164896940902
2027,414.1085449372161
2028,416.0335471824237
2029,416.60155228519034
2030,416.7360606901591
2031,416.7617679381809
2032,416.7657484728405
2033,416.76624917564783
2034,416.76630043938945
2035,416.76630471739645
2036,416.76630500868424
2037,416.76630502487944
2038,416.7663050256151
2039,416.76630502564245
2040,416.7663050256433
2041,416.7663050256433
2042,416.7663050256433
2043,416.7663050256433
2044,416.7663050256433
2045,416.7663050256433
2046,416.7663050256433
2047,416.7663050256433
2048,416.7663050256433
2049,416.7663050256433
2050,416.7663050256433
