year,predicted_value
2022,49.651818433492465
2023,52.77330865145581
2024,56.33389544105375
2025,59.23150952624669
2026,61.01401563206034
2027,61.865735324757395
2028,62.186766094435875
2029,62.28316183617679
2030,62.30637614626109
2031,62.310881530886896
2032,62.31158870274186
2033,62.311678712626716
2034,62.31168802172547
2035,62.311688805255336
2036,62.31168885899089
2037,62.31168886199655
2038,62.31168886213377
2039,62.311688862138894
2040,62.31168886213904
2041,62.31168886213905
2042,62.31168886213905
2043,62.31168886213905
2044,62.31168886213905
2045,62.31168886213905
2046,62.31168886213905
2047,62.31168886213905
2048,62.31168886213905
2049,62.31168886213905
2050,62.31168886213905
