year,predicted_value
2022,3.8994316582480306
2023,4.153219368401886
2024,4.426559895067518
2025,4.636139047964064
2026,4.758333187587189
2027,4.8141024601742535
2028,4.834334221914876
2029,4.840221155589227
2030,4.841602971832251
2031,4.841865624878754
2032,4.841906161307318
2033,4.841911250782982
2034,4.841911771353242
2035,4.84191181477687
2036,4.841911817733289
2037,4.841911817897677
2038,4.841911817905146
2039,4.841911817905423
2040,4.841911817905432
2041,4.841911817905432
2042,4.841911817905432
2043,4.841911817905432
2044,4.841911817905432
2045,4.841911817905432
2046,4.841911817905432
2047,4.841911817905432
2048,4.841911817905432
2049,4.841911817905432
2050,4.841911817905432
