year,predicted_value
2022,1606.0388972110263
2023,1609.1373199424931
2024,1620.0310569575486
2025,1631.7698088306734
2026,1639.9414369777444
2027,1644.1013872524718
2028,1645.7244100672212
2029,1646.2212163761694
2030,1646.3421457485397
2031,1646.365752117377
2032,1646.3694684159907
2033,1646.3699420583362
2034,1646.369991062874
2035,1646.369995186976
2036,1646.3699954697026
2037,1646.3699954855088
2038,1646.36999548623
2039,1646.3699954862568
2040,1646.3699954862577
2041,1646.3699954862577
2042,1646.3699954862577
2043,1646.3699954862577
2044,1646.3699954862577
2045,1646.3699954862577
2046,1646.3699954862577
2047,1646.3699954862577
2048,1646.3699954862577
2049,1646.3699954862577
2050,1646.3699954862577
