year,predicted_value
2022,143.7356939288366
2023,153.0223382978046
2024,164.41919694190273
2025,174.02688459309917
2026,180.03863147374778
2027,182.93364973584517
2028,184.02829731077293
2029,184.35728593997771
2030,184.43650474591038
2031,184.45187125149982
2032,184.454281652338
2033,184.4545882607733
2034,184.45461995371096
2035,184.45462262000893
2036,184.4546228027974
2037,184.45462281301837
2038,184.4546228134849
2039,184.45462281350228
2040,184.45462281350282
2041,184.45462281350282
2042,184.45462281350282
2043,184.45462281350282
2044,184.45462281350282
2045,184.45462281350282
2046,184.45462281350282
2047,184.45462281350282
2048,184.45462281350282
2049,184.45462281350282
2050,184.45462281350282
