year,predicted_value
2022,5.2565831412148105
2023,5.521824967813814
2024,5.797199640301643
2025,6.005404949250581
2026,6.126038955871114
2027,6.1809278804129875
2028,6.200809093205549
2029,6.206589257463949
2030,6.207945413735883
2031,6.208203127942724
2032,6.2082428969838395
2033,6.20824788975852
2034,6.208248400418098
2035,6.208248443014119
2036,6.208248445914157
2037,6.20824844607541
2038,6.208248446082736
2039,6.208248446083008
2040,6.208248446083017
2041,6.208248446083017
2042,6.208248446083017
2043,6.208248446083017
2044,6.208248446083017
2045,6.208248446083017
2046,6.208248446083017
2047,6.208248446083017
2048,6.208248446083017
2049,6.208248446083017
2050,6.208248446083017
