year,predicted_value
2022,16.259413838049213
2023,16.93182207270238
2024,17.61398319385922
2025,18.1255970042034
2026,18.421124179866077
2027,18.555433681049365
2028,18.60406049863968
2029,18.618195859018055
2030,18.621512178955598
2031,18.622142383173514
2032,18.622239633093624
2033,18.622251842321752
2034,18.62225309108335
2035,18.622253195247527
2036,18.622253202339287
2037,18.622253202733614
2038,18.62225320275153
2039,18.622253202752194
2040,18.622253202752216
2041,18.622253202752216
2042,18.622253202752216
2043,18.622253202752216
2044,18.622253202752216
2045,18.622253202752216
2046,18.622253202752216
2047,18.622253202752216
2048,18.622253202752216
2049,18.622253202752216
2050,18.622253202752216
