year,predicted_value
2022,9.662232287879903
2023,10.009327976595875
2024,10.364147709039841
2025,10.629995718044244
2026,10.783240637254334
2027,10.852769906675205
2028,10.87791474809727
2029,10.885219015672524
2030,10.886931967068588
2031,10.887257402057692
2032,10.887307614517987
2033,10.887313917934094
2034,10.88731456261954
2035,10.88731461639397
2036,10.887314620055017
2037,10.887314620258584
2038,10.887314620267833
2039,10.887314620268176
2040,10.887314620268187
2041,10.887314620268187
2042,10.887314620268187
2043,10.887314620268187
2044,10.887314620268187
2045,10.887314620268187
2046,10.887314620268187
2047,10.887314620268187
2048,10.887314620268187
2049,10.887314620268187
2050,10.887314620268187
