year,predicted_value
2022,1213.680872688874
2023,1236.3136843856823
2024,1262.1635314815176
2025,1282.7165314937529
2026,1294.9582609512886
2027,1300.6092256855595
2028,1302.6693338178552
2029,1303.2692932732143
2030,1303.4099056195498
2031,1303.43655797762
2032,1303.4406574277527
2033,1303.4411703108794
2034,1303.4412225916014
2035,1303.4412269388908
2036,1303.4412272340326
2037,1303.441227250403
2038,1303.4412272511452
2039,1303.4412272511727
2040,1303.4412272511736
2041,1303.4412272511736
2042,1303.4412272511736
2043,1303.4412272511736
2044,1303.4412272511736
2045,1303.4412272511736
2046,1303.4412272511736
2047,1303.4412272511736
2048,1303.4412272511736
2049,1303.4412272511736
2050,1303.4412272511736
