year,predicted_value
2022,936.2991860446302
2023,963.9869517043711
2024,993.3844911188589
2025,1015.9031119898895
2026,1029.0138310850139
2027,1034.973611510784
2028,1037.1223663125654
2029,1037.7429471022656
2030,1037.887455719341
2031,1037.9147070111546
2032,1037.9188814592173
2033,1037.9194019997665
2034,1037.919454918477
2035,1037.9194593091681
2036,1037.9194596067218
2037,1037.9194596232019
2038,1037.9194596239481
2039,1037.9194596239756
2040,1037.9194596239765
2041,1037.9194596239765
2042,1037.9194596239765
2043,1037.9194596239765
2044,1037.9194596239765
2045,1037.9194596239765
2046,1037.9194596239765
2047,1037.9194596239765
2048,1037.9194596239765
2049,1037.9194596239765
2050,1037.9194596239765
