year,predicted
2022,2043.5331122106186
2023,2039.7876877997544
2024,2037.226620142054
2025,2035.4753986974843
2026,2034.2779385137599
2027,2033.4591323621726
2028,2032.8992444235257
2029,2032.516401056711
2030,2032.2546182366198
2031,2032.075614887378
2032,2031.9532149566694
2033,2031.8695196342026
2034,2031.8122899694285
2035,2031.773157142962
2036,2031.74639867577
2037,2031.7281016185136
2038,2031.7155903523847
2039,2031.7070353274996
2040,2031.7011855238084
2041,2031.6971855116885
2042,2031.6944503605957
2043,2031.6925801033874
2044,2031.6913012482505
2045,2031.6904267853938
2046,2031.689828840196
2047,2031.6894199738194
2048,2031.6891403968375
2049,2031.6889492260948
2050,2031.6888185062744
