year,predicted
2022,485.9224637169375
2023,484.89560275338533
2024,484.13630949829604
2025,483.57486421243215
2026,483.15971393036915
2027,482.85273876994586
2028,482.6257516927635
2029,482.45791031713975
2030,482.33380313129913
2031,482.2420343792853
2032,482.1741776811487
2033,482.1240023068414
2034,482.0869010588289
2035,482.05946723051994
2036,482.0391817960399
2037,482.0241821085223
2038,482.01309086835954
2039,482.004889656954
2040,481.99882542360126
2041,481.9943413389535
2042,481.99102566589835
2043,481.9885739530801
2044,481.9867610796022
2045,481.9854205840016
2046,481.9844293794431
2047,481.98369645165405
2048,481.983154501822
2049,481.98275376709097
2050,481.9824574512418
