year,predicted
2022,138.63842010945547
2023,137.79078660927868
2024,137.00882750437557
2025,136.28745436184013
2026,135.62197299905716
2027,135.00805293730534
2028,134.441699222086
2029,133.91922642680464
2030,133.43723467063975
2031,132.99258749453975
2032,132.58239145138154
2033,132.20397727747752
2034,131.85488252290858
2035,131.53283552765396
2036,131.2357406392458
2037,130.96166457575552
2038,130.70882384537205
2039,130.47557314070727
2040,130.26039463230754
2041,130.0618880917006
2042,129.87876177970605
2043,129.70982404071674
2044,129.55397554825285
2045,129.4102021513282
2046,129.27756827507787
2047,129.15521083270343
2048,129.0423336091187
2049,128.93820207974917
2050,128.84213863076917
