year,predicted
2022,1603.0116600899357
2023,1598.8506856672616
2024,1596.9508955960641
2025,1596.0835020608015
2026,1595.6874732803474
2027,1595.5066570895735
2028,1595.4241012338894
2029,1595.3864084295085
2030,1595.3691988991811
2031,1595.3613414861031
2032,1595.3577540006168
2033,1595.356116050316
2034,1595.3553682058441
2035,1595.3550267599812
2036,1595.3548708648966
2037,1595.354799687354
2038,1595.3547671895842
2039,1595.3547523519683
2040,1595.354745577508
2041,1595.35474248447
2042,1595.3547410722713
2043,1595.3547404274989
2044,1595.354740133113
2045,1595.3547399987042
2046,1595.3547399373367
2047,1595.354739909318
2048,1595.3547398965252
2049,1595.3547398906844
2050,1595.3547398880178
