year,predicted
2022,4.950885894900404
2023,4.90746699901636
2024,4.864327887766178
2025,4.821466758261054
2026,4.778881819229718
2027,4.736571290943574
2028,4.694533405142322
2029,4.652766404960057
2030,4.611268544851846
2031,4.570038090520777
2032,4.529073318845477
2033,4.4883725178080995
2034,4.447933986422779
2035,4.407756034664537
2036,4.367836983398654
2037,4.328175164310493
2038,4.288768919835782
2039,4.249616603091331
2040,4.210716577806214
2041,4.17206721825338
2042,4.13366690918171
2043,4.095514045748514
2044,4.0576070334524585
2045,4.01994428806693
2046,3.982524235573826
2047,3.945345312097772
2048,3.908405963840765
2049,3.8717046470172343
2050,3.835239827789524
