year,predicted
2022,3.466291561736841
2023,3.331316224976402
2024,3.199619361135245
2025,3.0711213380009936
2026,2.945744457581686
2027,2.8234129091246776
2028,2.7040527232766913
2029,2.587591727357289
2030,2.473959501718727
2031,2.3630873371658057
2032,2.2549081934099657
2033,2.1493566585325103
2034,2.0463689094324415
2035,1.9458826732349974
2036,1.847837189637553
2037,1.7521731741701168
2038,1.6588327823482094
2039,1.5677595746964472
2040,1.478898482621684
2041,1.3921957751150733
2042,1.3075990262629191
2043,1.2250570835466692
2044,1.1445200369128823
2045,1.0659391885944693
2046,0.9892670236649586
2047,0.91445718130798
2048,0.8414644267845989
2049,0.7702446240815449
2050,0.7007547092238013
