year,predicted
2022,15.766154033007503
2023,15.7974407324862
2024,15.816495036338637
2025,15.828099536057383
2026,15.835166937457364
2027,15.839471143908225
2028,15.842092502470326
2029,15.84368896880844
2030,15.84466125272472
2031,15.84525339550361
2032,15.845614023777637
2033,15.845833654509724
2034,15.845967414566688
2035,15.846048877450636
2036,15.846098490179665
2037,15.846128705447802
2038,15.846147107225862
2039,15.846158314322693
2040,15.846165139696794
2041,15.846169296503174
2042,15.846171828091776
2043,15.84617336988619
2044,15.846174308873675
2045,15.846174880738177
2046,15.846175229016525
2047,15.846175441125874
2048,15.84617557030524
2049,15.84617564897838
2050,15.846175696892091
