year,predicted
2022,329.16866485532154
2023,325.73220209937324
2024,322.7331507214007
2025,320.11583465936855
2026,317.8316645984999
2027,315.838235932144
2028,314.09854153901364
2029,312.5802847623506
2030,311.25527983678114
2031,310.09892863205147
2032,309.0897639996218
2033,308.20905124455106
2034,307.44044032417344
2035,306.7696623167897
2036,306.1842645254487
2037,305.67337929913737
2038,305.22752227964753
2039,304.838416328662
2040,304.49883786634325
2041,304.20248276876976
2042,303.9438493346641
2043,303.718136148743
2044,303.52115294556654
2045,303.34924281911424
2046,303.19921433394245
2047,303.06828227759735
2048,302.95401595437795
2049,302.8542940605458
2050,302.7672653032593
