year,predicted
2022,690.3077566479886
2023,691.6940410562302
2024,692.7329399175829
2025,693.5115037084643
2026,694.0949691438601
2027,694.532225433311
2028,694.8599107614655
2029,695.1054822418037
2030,695.2895165783275
2031,695.4274342101842
2032,695.5307914071955
2033,695.6082485823965
2034,695.6662959575539
2035,695.7097973859743
2036,695.7423979001145
2037,695.7668291328532
2038,695.7851382040097
2039,695.7988592507617
2040,695.8091419746835
2041,695.8168479765043
2042,695.8226229505785
2043,695.8269507883256
2044,695.8301941240227
2045,695.8326247203294
2046,695.8344462395793
2047,695.8358113088706
2048,695.8368343088581
2049,695.8376009578342
2050,695.8381754941585
