year,predicted
2022,6.605040667716934
2023,6.586021416549018
2024,6.568709603449575
2025,6.552951944531034
2026,6.53860891684429
2027,6.525553523001449
2028,6.5136701667035855
2029,6.502853629217096
2030,6.493008137736069
2031,6.484046517381676
2032,6.4758894193301435
2033,6.468464618234915
2034,6.46170637272218
2035,6.455554843297405
2036,6.449955562508838
2037,6.444858952676665
2038,6.44021988691764
2039,6.435997289578384
2040,6.432153772539463
2041,6.428655304169974
2042,6.42547090800147
2043,6.422572388453197
2044,6.419934081180121
2045,6.417532625833264
2046,6.415346759220304
2047,6.41335712703501
2048,6.411546112488519
2049,6.409897680325106
2050,6.408397234841309
