year,predicted
2022,3.6222636988023114
2023,3.594982994590161
2024,3.577645390507462
2025,3.5666268877228253
2026,3.559624339790831
2027,3.5551740366508935
2028,3.552345752113654
2029,3.550548303002423
2030,3.5494059768803785
2031,3.5486799986254436
2032,3.5482186203758634
2033,3.547925402379679
2034,3.5477390546414305
2035,3.5476206257591576
2036,3.547545361093816
2037,3.5474975284220873
2038,3.547467129502829
2039,3.5474478101911817
2040,3.547435532261188
2041,3.5474277293141845
2042,3.547422770336411
2043,3.5474196187757836
2044,3.547417615876226
2045,3.5474163429809487
2046,3.547415534022566
2047,3.5474150199082657
2048,3.5474146931751243
2049,3.547414485527631
2050,3.5474143535621945
