year,predicted
2022,1194.311154591434
2023,1193.4021910808035
2024,1193.0872283919134
2025,1192.9780914527153
2026,1192.9402746829273
2027,1192.9271708879364
2028,1192.922630324474
2029,1192.921056985104
2030,1192.9205118111859
2031,1192.9203229043253
2032,1192.920257446678
2033,1192.9202347651112
2034,1192.9202269057778
2035,1192.9202241824596
2036,1192.9202232388095
2037,1192.9202229118275
2038,1192.9202227985259
2039,1192.920222759266
2040,1192.9202227456622
2041,1192.9202227409482
2042,1192.9202227393148
2043,1192.9202227387489
2044,1192.9202227385526
2045,1192.9202227384847
2046,1192.920222738461
2047,1192.9202227384528
2048,1192.92022273845
2049,1192.9202227384492
2050,1192.920222738449
