year,predicted
2022,220.013448532439
2023,216.8930388779697
2024,213.77263573657845
2025,210.65223910825168
2026,207.5318489929758
2027,204.4114653907372
2028,201.29108830152228
2029,198.17071772531747
2030,195.0503536621092
2031,191.9299961118838
2032,188.80964507462775
2033,185.68930055032743
2034,182.56896253896923
2035,179.44863104053957
2036,176.32830605502485
2037,173.20798758241148
2038,170.08767562268585
2039,166.9673701758344
2040,163.8470712418435
2041,160.7267788206996
2042,157.60649291238906
2043,154.4862135168983
2044,151.36594063421373
2045,148.24567426432176
2046,145.1254144072088
2047,142.00516106286125
2048,138.8849142312655
2049,135.76467391240797
2050,132.64444010627508
