year,predicted
2022,80.11242837765589
2023,79.83714450025371
2024,79.62487881952453
2025,79.4612051614788
2026,79.3349998029581
2027,79.23768547205403
2028,79.16264841253209
2029,79.1047888943153
2030,79.06017462145323
2031,79.025773482205
2032,78.99924747817855
2033,78.97879382736967
2034,78.96302244201534
2035,78.95086145431105
2036,78.94148436925343
2037,78.93425389371016
2038,78.92867862418233
2039,78.92437964963742
2040,78.92106479964757
2041,78.91850878766368
2042,78.91653789990653
2043,78.91501818928867
2044,78.91384637199282
2045,78.91294280801246
2046,78.91224608859255
2047,78.91170886271743
2048,78.9112946190023
2049,78.91097520427665
2050,78.91072891021535
