year,predicted
2022,913.8208594601334
2023,912.9065388284438
2024,912.243667951934
2025,911.7630949628798
2026,911.4146856331104
2027,911.1620932822392
2028,910.9789670273802
2029,910.8462028122208
2030,910.7499504379205
2031,910.6801686857569
2032,910.629577799346
2033,910.5929000475197
2034,910.5663091420334
2035,910.5470310723761
2036,910.5330547160648
2037,910.5229220347741
2038,910.5155759691863
2039,910.510250164686
2040,910.5063890238838
2041,910.5035897457103
2042,910.5015603044923
2043,910.5000889853156
2044,910.4990222975493
2045,910.4982489624302
2046,910.4976883042646
2047,910.4972818341961
2048,910.4969871485451
2049,910.496773505181
2050,910.496618616448
