year,actual,predicted
2011,6.591746238,6.3354926
2012,6.516983217,6.186
2013,6.484983632,6.036807
2014,6.442620591,5.892693
2015,6.368432451,5.756076
2016,6.26486506,5.627988
2017,6.128628243,5.508596
2018,5.969403512,5.397801
2019,5.840714205,5.2952967
2020,5.408548447,5.2007227
2021,5.187181048,5.11367
