year,actual,predicted
2011,2156.295044,2130.6182
2012,2147.356651,2133.21
2013,2142.145121,2134.7498
2014,2152.783873,2135.4602
2015,2174.569158,2135.5986
2016,2222.889062,2135.346
2017,2291.606072,2134.8728
2018,2335.236029,2134.3013
2019,2337.05338,2133.7217
2020,2299.411877,2133.1619
2021,2262.87213,2132.658
