year,actual,predicted
2011,1305.838253,1323.5969
2012,1287.898231,1323.9829
2013,1275.692501,1324.5092
2014,1271.001437,1325.0544
2015,1258.013736,1325.5452
2016,1250.74837,1325.9634
2017,1232.227022,1326.3091
2018,1223.331,1326.5919
2019,1217.569134,1326.8273
2020,1204.766961,1327.028
2021,1196.934369,1327.1946
